accuracy,loss,val_accuracy,val_loss
"[25, 1.0]","[15, 0.4568256437778473]","[178, 0.8929504156112671]","[13, 0.45445406436920166]"
"[27, 1.0]","[17, 0.4572131335735321]","[133, 0.8920800685882568]","[11, 0.45448318123817444]"
"[28, 1.0]","[18, 0.45736247301101685]","[143, 0.8894690871238708]","[10, 0.4546484351158142]"
"[29, 1.0]","[29, 0.4578077793121338]","[198, 0.8894690871238708]","[14, 0.6004030704498291]"
"[30, 1.0]","[35, 0.45838552713394165]","[41, 0.8885987997055054]","[110, 0.7075808644294739]"
"[33, 1.0]","[25, 0.45864540338516235]","[43, 0.8885987997055054]","[114, 0.7143020629882812]"
"[34, 1.0]","[23, 0.45945286750793457]","[166, 0.8885987997055054]","[12, 0.7324464321136475]"
"[35, 1.0]","[20, 0.45997220277786255]","[100, 0.8877284526824951]","[133, 0.732571005821228]"
"[36, 1.0]","[34, 0.4600431025028229]","[142, 0.8877284526824951]","[100, 0.7333808541297913]"
"[38, 1.0]","[46, 0.46017491817474365]","[150, 0.8877284526824951]","[77, 0.7394791841506958]"
"[39, 1.0]","[42, 0.46045446395874023]","[160, 0.8877284526824951]","[109, 0.745720624923706]"
"[40, 1.0]","[12, 0.46104100346565247]","[179, 0.8877284526824951]","[119, 0.7482442855834961]"
"[41, 1.0]","[16, 0.4610833525657654]","[183, 0.8877284526824951]","[16, 0.7514755129814148]"
"[42, 1.0]","[22, 0.46127286553382874]","[193, 0.8877284526824951]","[18, 0.7532231211662292]"
"[43, 1.0]","[33, 0.46129563450813293]","[199, 0.8877284526824951]","[15, 0.754088282585144]"
"[44, 1.0]","[30, 0.4616568088531494]","[80, 0.8868581652641296]","[54, 0.7561785578727722]"
"[45, 1.0]","[32, 0.4618384838104248]","[84, 0.8868581652641296]","[84, 0.7571592926979065]"
"[46, 1.0]","[39, 0.4619710147380829]","[127, 0.8868581652641296]","[61, 0.7736128568649292]"
"[47, 1.0]","[53, 0.46197977662086487]","[158, 0.8868581652641296]","[96, 0.7746397256851196]"
"[48, 1.0]","[10, 0.46208882331848145]","[173, 0.8868581652641296]","[21, 0.7931302189826965]"
"[49, 1.0]","[40, 0.46211254596710205]","[176, 0.8868581652641296]","[167, 0.7936853170394897]"
"[50, 1.0]","[38, 0.4623816907405853]","[196, 0.8868581652641296]","[155, 0.7975341081619263]"
"[51, 1.0]","[50, 0.46243807673454285]","[42, 0.8859878182411194]","[125, 0.8002342581748962]"
"[52, 1.0]","[14, 0.46271297335624695]","[52, 0.8859878182411194]","[162, 0.8005324006080627]"
"[53, 1.0]","[41, 0.46296483278274536]","[65, 0.8859878182411194]","[138, 0.8005393743515015]"
"[54, 1.0]","[26, 0.46299684047698975]","[85, 0.8859878182411194]","[105, 0.8063045144081116]"
"[55, 1.0]","[44, 0.46301984786987305]","[94, 0.8859878182411194]","[137, 0.8071086406707764]"
"[56, 1.0]","[48, 0.4632646441459656]","[96, 0.8859878182411194]","[94, 0.8095676302909851]"
"[57, 1.0]","[24, 0.46360647678375244]","[112, 0.8859878182411194]","[87, 0.8099547028541565]"
"[58, 1.0]","[47, 0.46371617913246155]","[113, 0.8859878182411194]","[143, 0.8112356662750244]"
"[59, 1.0]","[31, 0.46374669671058655]","[116, 0.8859878182411194]","[103, 0.8145752549171448]"
"[60, 1.0]","[21, 0.4638350307941437]","[122, 0.8859878182411194]","[179, 0.8172179460525513]"
"[61, 1.0]","[43, 0.4641353189945221]","[130, 0.8859878182411194]","[182, 0.8183119893074036]"
"[62, 1.0]","[13, 0.46465104818344116]","[144, 0.8859878182411194]","[101, 0.818405270576477]"
"[63, 1.0]","[11, 0.4647723138332367]","[146, 0.8859878182411194]","[92, 0.8195649981498718]"
"[64, 1.0]","[28, 0.46482008695602417]","[154, 0.8859878182411194]","[51, 0.828559160232544]"
"[65, 1.0]","[51, 0.4653368592262268]","[155, 0.8859878182411194]","[135, 0.8293838500976562]"
"[66, 1.0]","[65, 0.46539443731307983]","[174, 0.8859878182411194]","[175, 0.8331636786460876]"
"[67, 1.0]","[69, 0.46592119336128235]","[177, 0.8859878182411194]","[189, 0.8339430093765259]"
"[68, 1.0]","[80, 0.46598440408706665]","[186, 0.8859878182411194]","[19, 0.8359388709068298]"
"[69, 1.0]","[55, 0.46619826555252075]","[189, 0.8859878182411194]","[102, 0.8359994292259216]"
"[70, 1.0]","[45, 0.4663556218147278]","[50, 0.8851174712181091]","[123, 0.837176501750946]"
"[71, 1.0]","[67, 0.46655815839767456]","[77, 0.8851174712181091]","[149, 0.8411964774131775]"
"[72, 1.0]","[54, 0.46671172976493835]","[91, 0.8851174712181091]","[74, 0.8427284955978394]"
"[73, 1.0]","[84, 0.46699050068855286]","[111, 0.8851174712181091]","[65, 0.842802107334137]"
"[74, 1.0]","[58, 0.4670981168746948]","[117, 0.8851174712181091]","[47, 0.8439801931381226]"
"[75, 1.0]","[56, 0.46739858388900757]","[119, 0.8851174712181091]","[75, 0.8448542356491089]"
"[76, 1.0]","[52, 0.4675689935684204]","[124, 0.8851174712181091]","[193, 0.8464801907539368]"
"[77, 1.0]","[78, 0.4676007330417633]","[136, 0.8851174712181091]","[89, 0.8480706810951233]"
"[78, 1.0]","[57, 0.46772947907447815]","[153, 0.8851174712181091]","[170, 0.850291907787323]"
"[79, 1.0]","[63, 0.46775779128074646]","[164, 0.8851174712181091]","[50, 0.8513044714927673]"
"[80, 1.0]","[85, 0.46776169538497925]","[194, 0.8851174712181091]","[159, 0.8525514602661133]"
"[81, 1.0]","[59, 0.46786656975746155]","[47, 0.8842471837997437]","[64, 0.856259822845459]"
"[82, 1.0]","[79, 0.46797823905944824]","[51, 0.8842471837997437]","[196, 0.8582452535629272]"
"[83, 1.0]","[72, 0.4680943787097931]","[67, 0.8842471837997437]","[24, 0.8597003221511841]"
"[84, 1.0]","[129, 0.4681015908718109]","[73, 0.8842471837997437]","[169, 0.8604001402854919]"
"[85, 1.0]","[90, 0.4682391583919525]","[79, 0.8842471837997437]","[32, 0.8620412349700928]"
"[86, 1.0]","[62, 0.46824362874031067]","[86, 0.8842471837997437]","[165, 0.8665860295295715]"
"[87, 1.0]","[70, 0.46824997663497925]","[87, 0.8842471837997437]","[148, 0.86876380443573]"
"[88, 1.0]","[68, 0.46837401390075684]","[107, 0.8842471837997437]","[58, 0.8698654174804688]"
"[89, 1.0]","[94, 0.4685059189796448]","[114, 0.8842471837997437]","[22, 0.8708574771881104]"
"[90, 1.0]","[76, 0.46851837635040283]","[128, 0.8842471837997437]","[59, 0.8730373382568359]"
"[91, 1.0]","[27, 0.46853283047676086]","[145, 0.8842471837997437]","[26, 0.877315104007721]"
"[92, 1.0]","[37, 0.4686625301837921]","[156, 0.8842471837997437]","[17, 0.8818623423576355]"
"[93, 1.0]","[81, 0.4688728153705597]","[157, 0.8842471837997437]","[45, 0.8851712346076965]"
"[94, 1.0]","[66, 0.4690453112125397]","[159, 0.8842471837997437]","[28, 0.8871423602104187]"
"[95, 1.0]","[36, 0.4690680205821991]","[161, 0.8842471837997437]","[177, 0.8884763717651367]"
"[96, 1.0]","[74, 0.46937909722328186]","[172, 0.8842471837997437]","[76, 0.8887462615966797]"
"[97, 1.0]","[73, 0.46948114037513733]","[184, 0.8842471837997437]","[39, 0.8940708041191101]"
"[98, 1.0]","[88, 0.4695461094379425]","[185, 0.8842471837997437]","[35, 0.8960604667663574]"
"[99, 1.0]","[86, 0.4696040749549866]","[195, 0.8842471837997437]","[98, 0.8993946313858032]"
"[100, 1.0]","[82, 0.46965491771698]","[197, 0.8842471837997437]","[152, 0.9014816284179688]"
"[101, 1.0]","[49, 0.46976011991500854]","[14, 0.8833768367767334]","[107, 0.9017650485038757]"
"[102, 1.0]","[98, 0.4699763357639313]","[19, 0.8833768367767334]","[115, 0.9040936231613159]"
"[103, 1.0]","[122, 0.4699907600879669]","[36, 0.8833768367767334]","[112, 0.9045268893241882]"
