0: expected: 1, actual 0.999878
1: expected: 0, actual 0.151049
2: expected: 1, actual 1.000000
3: expected: 0, actual 0.041512
4: expected: 0, actual 0.008661
5: expected: 0, actual 0.015273
6: expected: 0, actual 0.013550
7: expected: 0, actual 0.003992
8: expected: 0, actual 0.016900
9: expected: 1, actual 0.780592
10: expected: 0, actual 0.030490
11: expected: 0, actual 0.005216
12: expected: 1, actual 0.999879
13: expected: 0, actual 0.661528
14: expected: 0, actual 0.078293
15: expected: 0, actual 0.027666
16: expected: 0, actual 0.005282
Test passed
0: expected: 1.000000, actual 1.000000
1: expected: 0.000000, actual 0.012267
2: expected: 0.000000, actual 0.007896
3: expected: 0.000000, actual 0.015053
4: expected: 0.000000, actual 0.022170
5: expected: 1.000000, actual 1.000000
6: expected: 0.000000, actual 0.136769
7: expected: 0.000000, actual 0.011982
8: expected: 0.000000, actual 0.024492
9: expected: 0.000000, actual 0.021925
10: expected: 0.000000, actual 0.034144
11: expected: 0.000000, actual 0.048741
12: expected: 0.000000, actual 0.007111
13: expected: 0.000000, actual 0.016492
14: expected: 0.000000, actual 0.666018
15: expected: 0.000000, actual 0.031456
16: expected: 0.000000, actual 0.013802
17: expected: 0.000000, actual 0.015344
18: expected: 1.000000, actual 0.275568
19: expected: 0.000000, actual 0.015338
20: expected: 0.000000, actual 0.022769
21: expected: 0.000000, actual 0.031634
22: expected: 0.000000, actual 0.008638
23: expected: 0.000000, actual 0.068232
24: expected: 0.000000, actual 0.229266
25: expected: 0.000000, actual 0.014512
26: expected: 0.000000, actual 0.020080
27: expected: 0.000000, actual 0.016101
28: expected: 0.000000, actual 0.013766
29: expected: 0.000000, actual 0.033308
30: expected: 0.000000, actual 0.016444
31: expected: 0.000000, actual 0.057393
32: expected: 1.000000, actual 0.199298
33: expected: 0.000000, actual 0.007051
34: expected: 0.000000, actual 0.015664
35: expected: 1.000000, actual 0.686691
36: expected: 0.000000, actual 0.027232
37: expected: 0.000000, actual 0.045588
38: expected: 0.000000, actual 0.008669
39: expected: 0.000000, actual 0.022196
40: expected: 0.000000, actual 0.005998
41: expected: 0.000000, actual 0.015774
42: expected: 1.000000, actual 1.000000
43: expected: 0.000000, actual 0.081408
44: expected: 0.000000, actual 0.003192
45: expected: 1.000000, actual 0.996569
46: expected: 1.000000, actual 1.000000
47: expected: 1.000000, actual 1.000000
48: expected: 0.000000, actual 0.505645
49: expected: 0.000000, actual 0.022053
50: expected: 1.000000, actual 0.999824
51: expected: 0.000000, actual 0.024824
52: expected: 1.000000, actual 1.000000
53: expected: 0.000000, actual 0.075484
54: expected: 0.000000, actual 0.046344
55: expected: 1.000000, actual 0.999977
56: expected: 0.000000, actual 0.051580
57: expected: 0.000000, actual 0.236299
58: expected: 0.000000, actual 0.008638
59: expected: 1.000000, actual 1.000000
60: expected: 0.000000, actual 0.230688
61: expected: 0.000000, actual 0.008101
62: expected: 1.000000, actual 1.000000
63: expected: 0.000000, actual 0.029364
64: expected: 0.000000, actual 0.017777
65: expected: 0.000000, actual 0.006768
66: expected: 0.000000, actual 0.005258
67: expected: 0.000000, actual 0.923128
68: expected: 0.000000, actual 0.034926
69: expected: 0.000000, actual 0.005390
70: expected: 0.000000, actual 0.075622
71: expected: 0.000000, actual 0.027307
72: expected: 1.000000, actual 0.844605
73: expected: 0.000000, actual 0.015307
74: expected: 0.000000, actual 0.008500
75: expected: 0.000000, actual 0.014243
76: expected: 0.000000, actual 0.009084
77: expected: 0.000000, actual 0.008046
78: expected: 1.000000, actual 0.205637
79: expected: 0.000000, actual 0.004470
80: expected: 0.000000, actual 0.007042
81: expected: 1.000000, actual 0.659327
82: expected: 1.000000, actual 0.991187
83: expected: 0.000000, actual 0.013184
84: expected: 0.000000, actual 0.017445
85: expected: 0.000000, actual 0.037121
86: expected: 0.000000, actual 0.038477
87: expected: 0.000000, actual 0.016249
88: expected: 0.000000, actual 0.026519
89: expected: 0.000000, actual 0.032655
90: expected: 1.000000, actual 0.975880
91: expected: 0.000000, actual 0.074722
92: expected: 0.000000, actual 0.011319
93: expected: 0.000000, actual 0.026047
94: expected: 0.000000, actual 0.052152
95: expected: 0.000000, actual 0.051027
96: expected: 0.000000, actual 0.028818
97: expected: 1.000000, actual 1.000000
98: expected: 0.000000, actual 0.306577
99: expected: 1.000000, actual 1.000000
100: expected: 0.000000, actual 0.045017
101: expected: 0.000000, actual 0.026388
102: expected: 0.000000, actual 0.006912
103: expected: 0.000000, actual 0.020086
104: expected: 0.000000, actual 0.029705
105: expected: 0.000000, actual 0.011698
106: expected: 1.000000, actual 0.420337
107: expected: 0.000000, actual 0.012717
108: expected: 0.000000, actual 0.011020
109: expected: 1.000000, actual 0.919398
110: expected: 0.000000, actual 0.017642
111: expected: 0.000000, actual 0.015698
112: expected: 0.000000, actual 0.094058
113: expected: 1.000000, actual 1.000000
114: expected: 1.000000, actual 1.000000
115: expected: 0.000000, actual 0.070436
116: expected: 0.000000, actual 0.010904
117: expected: 0.000000, actual 0.057190
118: expected: 0.000000, actual 0.007064
119: expected: 0.000000, actual 0.010759
120: expected: 0.000000, actual 0.010449
121: expected: 1.000000, actual 0.878646
122: expected: 0.000000, actual 0.036742
123: expected: 1.000000, actual 0.996909
124: expected: 0.000000, actual 0.063913
125: expected: 0.000000, actual 0.019120
126: expected: 0.000000, actual 0.048836
127: expected: 1.000000, actual 0.924976
128: expected: 0.000000, actual 0.996629
129: expected: 0.000000, actual 0.031444
130: expected: 0.000000, actual 0.091733
131: expected: 0.000000, actual 0.014144
132: expected: 0.000000, actual 0.020120
133: expected: 0.000000, actual 0.030140
134: expected: 0.000000, actual 0.016934
135: expected: 0.000000, actual 0.005049
136: expected: 0.000000, actual 0.008712
137: expected: 1.000000, actual 0.999994
138: expected: 0.000000, actual 0.019158
139: expected: 0.000000, actual 0.010407
140: expected: 1.000000, actual 0.999765
141: expected: 0.000000, actual 0.028391
142: expected: 0.000000, actual 0.012048
143: expected: 0.000000, actual 0.036664
144: expected: 0.000000, actual 0.016772
145: expected: 0.000000, actual 0.004260
146: expected: 0.000000, actual 0.013095
147: expected: 0.000000, actual 0.008993
148: expected: 0.000000, actual 0.011750
149: expected: 1.000000, actual 0.961709
150: expected: 0.000000, actual 0.020259
151: expected: 0.000000, actual 0.111002
152: expected: 0.000000, actual 0.207852
153: expected: 1.000000, actual 1.000000
154: expected: 1.000000, actual 1.000000
155: expected: 0.000000, actual 0.447026
156: expected: 1.000000, actual 0.995224
157: expected: 0.000000, actual 0.014311
158: expected: 0.000000, actual 0.013208
159: expected: 0.000000, actual 0.010966
160: expected: 0.000000, actual 0.042848
161: expected: 0.000000, actual 0.012498
162: expected: 1.000000, actual 1.000000
163: expected: 1.000000, actual 0.934163
164: expected: 0.000000, actual 0.009041
165: expected: 0.000000, actual 0.051029
166: expected: 0.000000, actual 0.018909
167: expected: 0.000000, actual 0.004654
168: expected: 0.000000, actual 0.031090
169: expected: 1.000000, actual 1.000000
170: expected: 1.000000, actual 1.000000
171: expected: 0.000000, actual 0.068621
172: expected: 1.000000, actual 1.000000
173: expected: 0.000000, actual 0.084070
174: expected: 0.000000, actual 0.014488
175: expected: 0.000000, actual 0.030294
176: expected: 1.000000, actual 1.000000
177: expected: 0.000000, actual 0.022411
178: expected: 1.000000, actual 0.993405
179: expected: 0.000000, actual 0.163897
180: expected: 0.000000, actual 0.010919
181: expected: 1.000000, actual 0.999999
182: expected: 0.000000, actual 0.033562
183: expected: 0.000000, actual 0.007226
184: expected: 0.000000, actual 0.030707
185: expected: 1.000000, actual 0.981537
186: expected: 1.000000, actual 0.999019
187: expected: 0.000000, actual 0.064508
188: expected: 0.000000, actual 0.054328
189: expected: 0.000000, actual 0.058451
190: expected: 0.000000, actual 0.010177
191: expected: 1.000000, actual 1.000000
192: expected: 1.000000, actual 1.000000
193: expected: 0.000000, actual 0.014604
194: expected: 0.000000, actual 0.037902
195: expected: 1.000000, actual 0.983726
196: expected: 1.000000, actual 0.999996
197: expected: 0.000000, actual 0.013445
198: expected: 0.000000, actual 0.005901
199: expected: 0.000000, actual 0.009622
200: expected: 0.000000, actual 0.008975
201: expected: 0.000000, actual 0.032956
202: expected: 0.000000, actual 0.063286
203: expected: 0.000000, actual 0.005642
204: expected: 0.000000, actual 0.013218
205: expected: 0.000000, actual 0.039558
206: expected: 0.000000, actual 0.037579
